et	de	en	lt	lv
"Esimene number  „S“ tähistab hooldust (service) , viidates kasutamisele bensiinimootorites."	Die erste Stelle „S“ steht für Service und verweist auf den Gebrauch für Benzinmotoren.	"The first digit ‘S’ stands for Service, indicating its use for gasoline engines."	"Pirmasis simbolis „S“, reiškiantis „Techninė priežiūra“, nurodo, kad jis naudojamas benzininiams varikliams."	"Pirmais burts ""S"" nozīmē ""apkope"", kas norāda, ka pielietojums ir benzīna dzinēji."
Selles peatükis arutatakse järgmistest kontrollidest: Rattapoltide/-mutrite kinnitamine Mootoriõli lisamine Vedelike tase Turvavöö Süüteküünlad Aku Pidurisüsteem Õhupuhasti Element Süsi Kanister Ees Löök Ülemine Tugi PCV Süsteem Klapivahe	In dieser Ausgabe werden die folgenden Prüfungen vorgestellt: Rad-Schraube/ Rad-Mutter anziehen Motoröl Auffüllen von Flüssigkeitsständen Antriebsriemen Zündkerzen Batterie Bremssystem Luftreinigereinsatz Aktivkohlebehälter Aufprall Oberer Support PCV-System Ventilspiel	The following checks are discussed in this volume: Tightening Wheel Bolts/ Wheel Nuts Engine Oil Top-up Fluid Levels Drive Belt Spark Plugs Battery Brake System Air Cleaner Element Charcoal Canister Front Shock Upper Support PCV System Valve Clearance	Šioje dalyje aptariamos šios apžiūros: Ratų varžtų priveržimas / Ratų veržlės Variklio alyvos papildymas Skysčių lygiai Pavaros diržas Uždegimo žvakės Akumuliatorius Stabdžių sistema Oro filtro elementas Anglies filtras Priekinis amortizatorius Viršutinė atrama PCV sistema Vožtuvo tarpas	"Šajā sadaļā ir aprakstītas šādas pārbaudes: Riteņu skrūvju/riteņu uzgriežņu pievilkšana Dzinēja eļļas papildināšana Šķidrumu līmeņi Piedziņas siksna Aizdedzes sveces Akumulators Bremžu sistēma Gaisa filtra elements Ogles filtrs Priekšējais amortizators, augšējais balsts PCV sistēma Vārstu siltumatstarpe"
Järgmised ametikirjeldused on aktuaalsed tüüpilises teeninduses: Tehnikud. Tehnikute juht. Teeninduskonsultant. Kontroller/töödejuhataja. Mõningatel vahendusfirmadel ei ole iga ameti jaoks eraldi isikut.	Die folgenden Stellenbeschreibungen sind in einer typischen Serviceabteilung aktiv: Techniker Leitender Techniker Serviceberater Regler / Meister Manche Verkaufsvertretungen haben keine eigene Person für jede Stellenbeschreibung.	The following job descriptions are active in a typical service department: Technician Technician leader Service advisor Controller / Foreman Some dealerships do not have a separate person for each job description.	Šie pareigų aprašymai yra aktyvūs įprastame techninės priežiūros padalinyje: Technikas Technikų vadovas Techninės priežiūros patarėjas Kontrolierius / meistras Kai kuriuose atstovybėse nėra atskiro asmens pagal kiekvieną pareigų aprašymą.	Tipisks Apkopes nodaļas darbinieku darba apraksts ir šāds: Tehniķis Tehniķu vadītājs Apkopes konsultants Pārraugs / meistars Dažos komercuzņēmumos nav atsevišķas personas saistībā ar katru darba aprakstu.
Arutatakse järgmiste mõõtetööriistade üle:	Die folgenden Messinstrumente werden vorgestellt:	The following measuring instruments will be discussed:	Bus aptarti šie matavimo instrumentai:	Turpmāk ir sniegta informācija par šādiem mērinstrumentiem:
Pöördemomendi saavutamiseks tuleb osutiga skaalal jälgida rakendatavat jõudu.	"Die anzuwendende Stärke kann mithilfe des Zeigers und der Skala abgelesen werden, um die Erreichung des festgelegten Drehmoments zu ermöglichen."	The force applied can be read using the pointer and scale to allow the specified torque to be achieved.	"Naudojamą jėgą galima pamatuoti stebint rodyklę ir skalę, kad būtų panaudotas nurodytas sukimo momentas."	"Pielikto spēku var nolasīt, izmantojot šautru un skalu, lai varētu sasniegt noteikto pievilkšanas spēku."
Gaasid saastavad atmosfääri	Diese Gase verschmutzen die Atmosphäre	The gasses pollute the atmosphere	Dujos teršia atmosferą	Gāzes piesārņo atmosfēru
"Kuuekandilise osa pind on suures kokkupuutes mutri/poldiga, mistõttu mutri/poldi pind saab väga vähe kahjustada."	"Das sechskantige Teil nimmt eine große Kontaktoberfläche mit Mutter/Schraube ein, sodass Mutter/Schraube nur unter Schwierigkeiten beschädigt werden können."	"The hexagonal part gains a large contact surface with nut/ bolt, making it extremely difficult to damage the surface of the nut/ bolt."	"Šešiakampė dalis turi didelį kontakto paviršių su veržle / varžtu, dėl to labai sudėtinga pažeisti veržlės / varžto paviršių."	"Sešstūra daļa panāk lielu saskares kontaktu ar uzgriežņa/skrūves virsmu, un tādējādi uzgriežņa/skrūves virsmu ir ļoti grūti sabojāt."
Haaratseid saab kasutada näpistamiseks või haaramiseks ja tõmbamiseks.	Die Klemmbacken können zum Kneifen oder zum Greifen und Klemmen verwendet werden.	The jaws can be used to nip or grip and pull.	Spaustuvu galima sugnybti arba suimti ir traukti.	Spailes var izmantot sakniebšanai vai satveršanai un raušanai.
Suurem osa saavutab suurema momendi kui väiksem.	Das größere Teil kann ein größeres Drehmoment erreichen als das kleinere.	The larger part can achieve greater torque than the smaller one.	Stambesnė detalė atspari didesniam sukimo momentui nei smulkesnė.	Ar lielāka izmēra uzmavu var sasniegt lielāku pievilkšanas spēku nekā ar mazāka izmēra uzmavu.
"Magnet hoiab süüteküünalt välja kukkumast, kuid siiski tuleb hoolikas olla, et see välja ei kukuks."	"Durch Magnet wird verhindert, dass die Zündkerze herausfällt. Es sollte dennoch Vorsicht gewahrt werden, dass sie nicht herunterfällt."	"The magnet prevents the spark plug from falling out, but care should still be taken to ensure it doesn’t drop out."	"Uždegimo žvakę prilaiko magnetas, bet ir jūs turėtumėte elgtis atsargiau, kad ji neiškristų."	"Magnēts novērš aizdedzes sveces izkrišanu, tomēr vienmēr jāuzmanās, lai tā nenokristu."
"Nooniuse pidurisadula mõõtevahemik on 0~150, 200, 300 mm"	"Der Messbereich eines Messschiebers liegt innerhalb von 0~150, 200, 300mm"	"The Measurement range of a Vernier Caliper is 0~150, 200, 300mm"	"Slankmačio matavimo diapazonas yra 0~150, 200, 300 mm"	"Bīdmēra mērījumu intervāls ir 0~150, 200, 300 mm."
Vajalik LLC kontsnetratsioon sõltub piirkonnast.	Die nötige LLC-Konzentration hängt von der Region ab.	The necessary LLC concentration depends on the region.	Reikiama LLC koncentracija priklauso nuo regiono.	Vajadzīgā LLC koncentrācija ir atkarīga no reģiona.
"Number osutab 1/10 miiniumtõmbetugevusest ühikutes kgf/mm2 ja täht tähendab ""tõmbetugevust""."	Die Zahl zeigt 1/10 der minimalen Zugfestigkeit in der Einheit kgf/mm2 an. Der Buchstabe steht für „Zugfestigkeit“.	"The number indicates 1/10 of the minimum tensile strength in units of kgf/mm2 and the letter stands for ""tensile strength""."	"Skaičius nurodo 1/10 minimalios tempimo jėgos dalį (kgf/mm2), o raidė reiškia „tempimo jėgą“."	"Ar skaitli apzīmē 1/10 no minimālās stiepes izturības kgf/mm2 vienībās, un ar burtu apzīmē stiepes izturību."
"Näpitsad on pikad ja peenikesed, mistõttu sobivad need töötamisel kitsastes kohtades."	"Die Kneifzangen sind lang und dünn, sodass sie auf engen Räumen angewendet werden kann."	"The pincers are long and thin, making it suitable for work in tight spaces."	"Pincetas yra ilgas ir plonas, todėl tinka darbui ankštose erdvėse.."	"Spīles ir garas un plānas, tāpēc šīs knaibles ir piemērotas darbam šaurās vietās."
"Plastist haamril on plastist pea ja seda kasutatakse juhul, kui löödav ese ei tohi kahjustada saada."	"Der Kunststoffhammer hat ein Kopf aus Plastik und wird verwendet, wenn Schäden am zu hämmernden Teil vermieden werden sollen."	"The plastic hammer has a plastic head, and is used where damage must be avoided to the item being struck."	"Plastikinio plaktuko galva yra pagaminta iš plastiko, tad jis naudojamas pakalti lengvai pažeidžiamas dalis."	"Plastmasas āmuram ir plastmasas galva, un to izmanto gadījumos, kad jāizvairās no sitamā priekšmeta sabojāšanas."
Juhtme elektroodi serv peab õigeks toimimiseks olema ääristatud.	Für den korrekten Betrieb sollten die Kanten der Zündkerzenelektrode abgerundet werden.	The plug’s electrode edge should be rounded for correct operation.	"Kad žvakė veiktų tinkamai, jos elektrodo briauna turėtu būti užapvalinta."	"Sveces elektroda malai jābūt noapaļotai, lai svece darbotos pareizi."
Kaitseklapi kork avaneb kõrgsurve tõttu ja laseb jahutusvedeliku mahutisse.	"Bei Hochdruck öffnet sich das Druckventil im Deckel, um Kühlmittel in den Vorratsbehälter zu bringen."	The pressure valve in the cap opens at high pressure to deliver the coolant to the reservoir tank.	"Susidarius aukštam slėgiui, dangtelio slėginis vožtuvas atsidaro, kad į rezervuarą patektų aušalo."	"Spiediena vārsts vāciņā atveras, kad ir augsts spiediens, lai novadītu dzesēšanas šķidrumu uz rezervuāra tvertni."
Vahetusvälp sõltub sõiduki mudelist ja töötingimustest.	Der Zeitabstand des Austauschs variiert je nach Modell und Betriebsbedingungen des Fahrzeugs.	The replacement interval varies by model and operating conditions of the vehicle.	"Keitimo intervalas skiriasi, atsižvelgiant į transporto priemonės modelį ir eksploatavimo sąlygas."	Nomaiņas intervāls ir dažāds atkarībā no transportlīdzekļa modeļa un ekspluatācijas apstākļiem.
"Paigaldada saab kummipadja, et katta nii kärni kui sõrme."	Das Gummipolster kann sowohl zur Abdekung des Stempels als auch des Splints verwendet werden.	The rubber cushion can also be set to cover both the punch and the pin.	"Galima pritaisyti guminę pagalvėlę, kuri uždengs dėtuvą ir kaištį."	"Gumijas starpliku var arī iestatīt tā, lai tā segtu gan caurumsiti, gan tapu."
Kuulliigendi pesa kulub kasutuse käigus.	Der Sitz im Kugelgelenk verschleißt während des Gebrauchs.	The seat in the ball joint wears through usage.	Rutulinio lanksto lizdas naudojant dėvisi.	Lodbalsta ligzda laika gaitā nodilst.
Hooldustegevused vastavad kliendi nõudmistele.	Diese Serviceleistungen werden den Ansprüchen der Kunden gerecht.	The service activities meet the demands of the customer.	Suteiktos techninės priežiūros paslaugos atitinka kliento poreikius.	Apkopes darbības atbilst klienta prasībām.
"Teeninduskonsultant kontrollib, kas auto on puhas ja istmekate ning põrandakatted eemaldatud."	"Der Serviceberater überprüft, ob das Auto sauber ist und die Sitzbezüge sowie die Fußmatten entfernt wurden."	The service advisor checks if the car is clean and the seat cover and floor mats are removed.	"Techninės apžiūros patarėjas patikrina, ar automobilis yra švarus ir ar nėra paliktų sėdinės bei grindų apdangalų."	"Apkopes konsultants pārbauda, vai automobilis ir tīrs un vai ir noņemts sēdekļu pārsegs un grīdas paklāji."
"Kui klient siseneb esindusse, tervitab teeninduskonsultant teda, remondi kulusid ja rõhutab selle maksumust ja kuluvat aega."	"Der Serviceberater begrüßt den Kunden, wenn dieser das Autohaus betritt, erläutert den Reparaturauftrag und geht auf die veranschlagten Kosten und die benötigte Zeit ein."	"The service advisor greets the customer when entering the dealership, explains the repair order and underlines the costs and time required."	"Techninės apžiūros patarėjas pasisveikina su klientu, šiam įėjus į atstovybę, paaiškina remonto tvarką ir nurodo numatomą kainą bei remonto trukmę."	"Apkopes konsultants sagaida klientu, kurš ienāk komercuzņēmuma telpās, izskaidro remontdarbu pasūtījumu un īpaši norāda, kādas ir izmaksas un nepieciešamais laiks."
Teeninduskonsultant on kliendiga kõige rohkem kontaktis.	Der Serviceberater hat am meisten Kundenkontakt.	The service advisor has the most contact with the customer.	Techninės apžiūros patarėjas palaiko artimiausią kontaktą su klientu.	Apkopes konsultantam ir vislielākā saskare ar klientu.
"Hooldusnõustaja kuulab kliendi hooldusvajadusi ja küsib asjakohaseid küsimusi, et täita remonditellimuse vorm näiteks hoolduse tüübi, kuupäeva, kellaaja ja hinnangulise summa kohta."	"Der Serviceberater schenkt den Serviceansprüchen der Kunden Aufmerksamkeit und stellt die zum Ausfüllen des Reparaturauftrags relevanten Fragen, etwa nach Art des Service, Datum, Zeit und geschätztem Betrag."	"The service advisor listens to the customer’s service requirements and asks the relevant questions for filling in the repair order for example service type, date, time and estimate amount."	"Techninės priežiūros patarėjas išsiaiškina kliento poreikius ir užduoda klausimus, susijusius su remonto užsakymo pildymu, pvz., techninės priežiūros paslaugų tipą, datą, laiką ir numatomą kainą."	"Apkopes konsultants uzklausa klienta prasības attiecībā uz apkopi un uzdod atbilstošos jautājumus, lai aizpildītu remontdarbu pasūtījumu, piemēram, par apkopes veidu, datumu, laiku un paredzamo apjomu."
"Teeninduskonsultant valmistab ette arve ja ja varuosad, mida kliendile näidata."	"Der Serviceberater bereitet die Rechnung vor und legt die Ersatzteile bereit, um sie dem Kunden zu zeigen."	The service advisor prepares the invoice and prepares the replacement parts to show the customer.	Techninės priežiūros patarėjas parengia sąskaitą ir pasiruošia parodyti klientui keitimui skirtas detales.	"Apkopes konsultants sagatavo rēķinu un rezerves detaļas, kas jāuzrāda klientam."
"Teenindusosad on ära märgitud hooldusplaani tabelis, mille leiab hooldustabeli voldikust."	"Die Serviceleistungen werden im Wartungsplan aufgeführt, der in der Wartungsplan-Broschüre zu finden ist."	The service items are stated in the maintenance schedule chart found in the maintenance schedule booklet.	"Techninės priežiūros veiksmai yra nurodyti techninės priežiūros tvarkaraščio lentelėje, kurią galima rasti techninės priežiūros tvarkaraščio brošiūroje."	"Apkopes elementi ir noteikti apkopes grafika shēmā, kas iekļauta apkopes grafika bukletā."
Võll on kinnitatud nurga all haaratsi külge.	Die Welle ist an einem Winkel an die Backe angebracht.	The shaft is attached at an angle to the jaw.	Velenas kampu pritvirtintas prie žiočių.	Atslēgas un žokļa leņķi ir vienādi.
Ameerika Inseneride ühing on üles seadnud viskoossuse hindamissüsteemi autodele.	Die Society of American Engineers hat einen System zur Einteilung von Viskosität für die Verwendung im Automobilbereich entwickelt.	The Society of American Engineers have set up a viscosity grading system for automotive use.	"Amerikos inžinierių asociacija sukūrė klampumo įvertinimo sistemą, skirtą automobiliams."	Amerikas Inženieru apvienība ir izveidojusi viskozitātes kategoriju sistēmu izmantošanai automobiļu nozarē.
"Padruni haaratsil on hingega mehhanism, mis võimaldab padrunvõtmega sobitamiseks muuta käepideme nurka."	"Die Stecker-Klemmbacke bewegt sich scharnierartig, wodurch der Winkel des Griffs an den Steckschlüssel angepasst werden kann."	"The socket jaw has a hinged movement, which allows the angle of the handle to be adjusted to fit the socket wrench."	"Lizdo žiotys juda kaip lankstas, todėl galima pritaikyti rankenos kampą ir pritvirtinti prie žvakių rakto."	"Atslēgas ietveres locīklas veida kustība ļauj roktura leņķi pielāgot tā, lai tas atbilstu galatslēgai."
"Padrunvõtme nelikantajamit saab liigutada edasi ja tagasi või vasakule ja paremale ning pideme nurka saab padrunvõtme suhtes vabalt muuta. Seetõttu on see kasulik tööriist töötamiseks piiratud suurusega ruumides. Ärge rakendage pöördemomenti asendis, kus pide on kallutatud suure nurga all. Ärge kasutage õhktööriistana. Liigend võib lahti tulla ja tööriista või autoosa kahjustada."	"Der Stecker-Vierkantantrieb kann vor und zurück oder nach rechts und links bewegt werden. Der Winkel, in dem der Griff zum Steckschlüssel steht, kann frei verändert werden. Das Werkzeug ist daher auf engem Raum besonders hilfreich. Wenden Sie das Drehmoment nicht mit einem großen Winkel zum Griff an. Nicht für Luftwerkzeug verwenden. Das Gelenk könnte sich loslösen und das Werkzeug, ein Teil oder das Fahrzeug beschädigen."	"The socket square drive can be moved back and forth, or left and right and the angle of the handle in relation to the socket wrench can be changed freely, making this a useful tool for work in restricted spaces. Do not apply torque with the handle tilted to a large angle. Do not use for an air tool. The joint may become detached and cause damage to the tool, the part or the vehicle."	"Lizdinį kvadratinį atsuktuvą galima judinti pirmyn ir atgal, į kairę arba į dešinę, be to, galima laisvai keisti rankenos kampą žvakių rakto atžvilgiu, kad šiuo naudingu įrankiu galima būtų dirbti sunkiai pasiekiamose vietose. Netaikykite sukimo momento, kai rankena pakreipta dideliu kampu. Nenaudokite su pneumatiniu įrankiu. lankstas gali atsijungti ir sugadinti įrankį, dalį arba transporto priemonę."	"Galatslēgas četrstūraino uzgali var pārvirzīt uz priekšu un atpakaļ vai pa kreisi vai pa labi, un roktura leņķi attiecībā pret galatslēgu var brīvi mainīt, tāpēc šis instruments ir noderīgs darbam ierobežotā telpā. Nepielieciet pievilkšanas spēku, kad rokturis ir izliekts platā leņķī. Neizmantojiet to pneimatiskajiem instrumentiem! Kardāns var atvienoties un izraisīt instrumenta, daļas vai automobiļa bojājumus."
